id;nom;short_name;nom_responsable;video_introduction;video_introduction_content_type;contact_responsable;description;couleur_1;couleur_2
1;c monitoring;e-tailers Victoire;envisioneer Networked;../fake-data/blob/hipster.png;image/png;full-range Borders back-end;payment;redefine Dinar;Leone Timor
2;parsing a zero;invoice;neural;../fake-data/blob/hipster.png;image/png;invoice gold maroon;SDD;e-services;facilitate Bedfordshire
3;vertical;envisioneer Frozen;d'Azur USB;../fake-data/blob/hipster.png;image/png;Automotive;Borders Chips Granite;Ingenieur Intuitive;Borders Limousin
4;enhance matrix Handcrafted;Checking Nicaragua radical;Bangladesh;../fake-data/blob/hipster.png;image/png;de Home open-source;Ouganda;driver;metrics Bangladesh
5;des Generic;circuit;blue;../fake-data/blob/hipster.png;image/png;Trinité-et-Tobago bandwidth-monitored;connecting c;Baby Wooden feed;yellow Tala a
6;c;Designer protocol;Account;../fake-data/blob/hipster.png;image/png;Money cross-platform;overriding robust;Music;plug-and-play
7;encompassing blue;tan;Down-sized Car a;../fake-data/blob/hipster.png;image/png;payment AI;RSS Savings;port;a
8;Directeur Sleek;card;Market;../fake-data/blob/hipster.png;image/png;Monsieur-le-Prince XML b;impactful;Shoes;purple
9;Bonaparte;application Rustic haptic;real-time productize Unbranded;../fake-data/blob/hipster.png;image/png;Bacon;Assistant quantifying b;navigating pixel;Cotton directional
10;Frozen incubate revolutionize;convergence a invoice;markets hacking Leu;../fake-data/blob/hipster.png;image/png;Movies Granite firewall;Bretagne Lira;invoice Market synergies;Open-architected
